"time","M","Y","Z","I"
585,657.103,43.9536,13.4465,351
586,647.192,43.9017,13.5287,353
587,668.873,43.9976,13.6215,352
588,656.886,43.9729,13.7251,350
589,652.397,43.9562,13.7748,353
590,664.558,44.0409,13.7906,354
591,650.302,43.9896,13.808,352
592,641.072,43.878,13.8369,352
593,632.764,43.7071,13.835,351
594,623.488,43.512,13.83,353
595,638.539,43.4696,13.7952,355
596,627.785,43.3544,13.7931,355
597,629.807,43.242,13.7768,353
598,618.126,43.0933,13.8069,356
599,618.413,42.9391,13.7992,354
600,626.772,42.8493,13.7939,353
601,627.995,42.7658,13.8205,352
602,640.795,42.8068,13.8044,354
603,637.916,42.835,13.7694,355
604,641.624,42.838,13.7157,351
605,640.462,42.7959,13.6545,348
606,646.616,42.8015,13.6412,348
607,643.154,42.8067,13.6051,350
608,642.739,42.7839,13.5698,348
609,634.265,42.7159,13.5231,349
610,641.038,42.703,13.4747,349
611,647.135,42.7222,13.4466,348
612,641.821,42.7142,13.4204,349
613,644.239,42.7241,13.4332,349
614,641.915,42.7165,13.4421,349
615,638.924,42.7007,13.443,350
616,636.231,42.6797,13.4298,351
617,652.708,42.7531,13.4316,349
618,650.437,42.7903,13.4332,348
619,655.594,42.8723,13.4261,349
620,645.834,42.8767,13.4047,349
621,643.351,42.8263,13.4007,346
622,652.816,42.8102,13.4067,343
623,655.034,42.7988,13.4042,342
624,649.831,42.7402,13.4073,341
625,649.648,42.6741,13.4049,340
626,661.183,42.6945,13.3999,340
627,661.665,42.754,13.3933,343
628,661.198,42.7786,13.4164,341
629,666.178,42.8477,13.428,342
630,667.96,42.9091,13.4538,341
631,670.464,42.994,13.4552,342
632,663.718,43.0232,13.4393,342
633,662.146,43.0637,13.4343,344
634,663.432,43.1088,13.4307,344
635,671.788,43.2458,13.4123,347
636,664.01,43.3135,13.3916,347
637,667.809,43.4135,13.398,348
638,675.728,43.6232,13.4166,353
639,674.755,43.8421,13.4244,356
640,686.479,44.1223,13.4461,356
641,684.432,44.3448,13.4653,355
642,680.788,44.5823,13.492,360
643,663.11,44.6404,13.5011,358
644,672.399,44.7341,13.5138,356
645,675.359,44.8262,13.528,355
646,669.923,44.8567,13.571,354
647,664.131,44.8172,13.5923,352
648,665.218,44.8023,13.6236,353
649,661.696,44.7638,13.6894,353
650,647.726,44.605,13.7581,351
651,651.354,44.5012,13.846,352
652,658.218,44.4949,13.9159,355
653,659.896,44.5014,13.9904,355
654,647.007,44.4145,14.0086,355
655,654.306,44.3644,14.038,353
656,646.475,44.2392,14.0669,351
657,643.928,44.1214,14.0765,352
658,648.835,44.0388,14.0641,351
659,658.652,44.0222,14.0594,350
660,663.886,44.0191,14.0474,348
661,664.098,44.0053,13.9975,347
662,661.588,43.9501,13.9649,345
663,668.329,43.9351,13.963,344
664,664.496,43.8697,13.965,342
665,670.047,43.7987,13.9377,338
666,671.442,43.7319,13.922,337
667,676.298,43.7182,13.8827,338
668,672.568,43.6677,13.8458,337
669,666.511,43.5557,13.8198,335
670,665.56,43.4239,13.8146,333
671,663.804,43.2941,13.8137,333
672,668.524,43.2355,13.8093,335
673,660.171,43.139,13.792,336
674,674.254,43.1357,13.7873,335
675,684.229,43.2135,13.7668,336
676,662.606,43.1232,13.7445,335
677,657.545,43.0083,13.7235,335
678,652.091,42.8188,13.7192,331
679,655.282,42.7207,13.7034,335
680,650.954,42.6038,13.6683,335
681,644.358,42.4299,13.6269,333
682,643.822,42.2586,13.5862,332
683,646.04,42.1204,13.5678,332
684,658.836,42.0577,13.5375,330
685,656.852,42.0009,13.5364,331
686,656.867,41.9879,13.5608,334
687,661.381,42.0067,13.5325,334
688,664.542,42.0196,13.4964,332
689,659.288,41.9706,13.437,330
690,664.459,41.9868,13.4062,332
691,670.913,42.0574,13.3695,333
692,663.222,42.1067,13.3149,336
693,659.9,42.1533,13.2612,338
694,655.11,42.1372,13.2178,336
695,663.399,42.1539,13.1981,334
696,655.559,42.1033,13.1803,333
697,656.603,42.04,13.1762,331
698,653.943,41.9906,13.1822,333
699,658.749,41.9788,13.1862,333
700,660.374,41.9666,13.1708,332
701,661.836,41.9529,13.1759,331
702,672.153,41.997,13.1981,330
703,680.537,42.0533,13.2135,327
704,677.284,42.0822,13.2282,327
705,670.755,42.0776,13.2231,328
706,661.28,42.0231,13.2283,329
707,648.252,41.8629,13.2125,327
708,638.327,41.6662,13.1926,328
709,641.994,41.5268,13.1771,329
710,637.195,41.3824,13.1734,330
711,638.275,41.2728,13.1696,331
712,642.848,41.1931,13.1653,330
713,630.763,41.0171,13.1791,328
714,620.787,40.8171,13.1968,330
715,619.008,40.6264,13.2058,330
716,621.007,40.4811,13.2044,331
